TIMESTAMP_S,TIMESTAMP_DATE,(DATE) DATE,(TIME) TIME,(Axis 105) ASPD,(Axis 105) IQ,(Axis 105) AD4,(Axis 105) CSPD,(Axis 105) CACC,(Axis 105) UQREF,(Axis 105) UDREF
1303315451.23845,2011-04-20 16:04:11,2011-04-20,16:04:11.2384,0,-1.41964809384164,60.191788856305,5999.99999973231,432.998175995301,-0.93054435483871,-0.1310392228739
1303315451.25745,2011-04-20 16:04:11,2011-04-20,16:04:11.2574,0,-1.41964809384164,60.191788856305,5999.99999973231,432.998175995301,-0.942155425219941,-0.0978647360703812
1303315451.28245,2011-04-20 16:04:11,2011-04-20,16:04:11.2824,0,-1.21293071847507,60.191788856305,5999.99999973231,432.998175995301,-0.93054435483871,-0.13933284457478
1303315451.30745,2011-04-20 16:04:11,2011-04-20,16:04:11.3074,0,-1.27806085043988,60.191788856305,5999.99999973231,432.998175995301,-0.932203079178886,-0.127721774193548
1303315451.33245,2011-04-20 16:04:11,2011-04-20,16:04:11.3324,0,-1.35451796187683,60.191788856305,5999.99999973231,432.998175995301,-0.990258431085044,-0.149285190615836
1303315451.35745,2011-04-20 16:04:11,2011-04-20,16:04:11.3574,0,-1.27806085043988,60.0856304985337,5999.99999973231,432.998175995301,-0.925568181818182,-0.0895711143695015
1303315451.38245,2011-04-20 16:04:11,2011-04-20,16:04:11.3824,0,-1.27806085043988,60.191788856305,5999.99999973231,432.998175995301,-0.932203079178886,-0.127721774193548
1303315451.40745,2011-04-20 16:04:11,2011-04-20,16:04:11.4074,0,-1.28938782991202,60.191788856305,5999.99999973231,432.998175995301,-0.874147727272727,-0.136015395894428
1303315451.43245,2011-04-20 16:04:11,2011-04-20,16:04:11.4324,0,-1.35451796187683,60.0856304985337,5999.99999973231,432.998175995301,-0.923909457478006,-0.1310392228739
1303315451.45745,2011-04-20 16:04:11,2011-04-20,16:04:11.4574,0,-1.28938782991202,60.191788856305,5999.99999973231,432.998175995301,-0.927226906158358,-0.0779600439882698
1303315451.48245,2011-04-20 16:04:11,2011-04-20,16:04:11.4824,0,-1.35451796187683,60.191788856305,5999.99999973231,432.998175995301,-0.986940982404692,-0.0812774926686217
1303315451.50745,2011-04-20 16:04:11,2011-04-20,16:04:11.5074,0,-1.34319098240469,60.191788856305,5999.99999973231,432.998175995301,-0.877465175953079,-0.107817082111437
1303315451.53245,2011-04-20 16:04:11,2011-04-20,16:04:11.5324,0,-1.22425769794721,60.191788856305,5999.99999973231,432.998175995301,-0.932203079178886,-0.132697947214076
1303315451.55745,2011-04-20 16:04:11,2011-04-20,16:04:11.5574,0,-1.28938782991202,60.191788856305,5999.99999973231,432.998175995301,-0.933861803519061,-0.136015395894428
1303315451.58245,2011-04-20 16:04:11,2011-04-20,16:04:11.5824,0,-1.35451796187683,60.191788856305,5999.99999973231,432.998175995301,-0.927226906158358,-0.071325146627566
1303315451.60745,2011-04-20 16:04:11,2011-04-20,16:04:11.6074,0,-1.35451796187683,60.191788856305,5999.99999973231,432.998175995301,-0.925568181818182,-0.129380498533724
1303315451.63245,2011-04-20 16:04:11,2011-04-20,16:04:11.6324,0,-1.27806085043988,60.0856304985337,5999.99999973231,432.998175995301,-0.938837976539589,-0.0763013196480938
1303315451.65745,2011-04-20 16:04:11,2011-04-20,16:04:11.6574,0,-1.27806085043988,60.191788856305,5999.99999973231,432.998175995301,-0.928885630498534,-0.129380498533724
1303315451.68245,2011-04-20 16:04:11,2011-04-20,16:04:11.6824,0,-1.28938782991202,60.191788856305,5999.99999973231,432.998175995301,-0.889076246334311,-0.0779600439882698
1303315451.70745,2011-04-20 16:04:11,2011-04-20,16:04:11.7074,0,-1.27806085043988,60.191788856305,5999.99999973231,432.998175995301,-0.937179252199413,-0.132697947214076
1303315451.73245,2011-04-20 16:04:11,2011-04-20,16:04:11.7324,0,-1.28938782991202,60.191788856305,5999.99999973231,432.998175995301,-0.92225073313783,-0.126063049853372
1303315451.75745,2011-04-20 16:04:11,2011-04-20,16:04:11.7574,0,-1.28938782991202,60.191788856305,5999.99999973231,432.998175995301,-0.885758797653959,-0.0862536656891496
1303315451.78245,2011-04-20 16:04:11,2011-04-20,16:04:11.7824,0,-1.21293071847507,60.191788856305,5999.99999973231,432.998175995301,-0.920592008797654,-0.137674120234604
1303315451.80745,2011-04-20 16:04:11,2011-04-20,16:04:11.8074,0,-1.27806085043988,60.191788856305,5999.99999973231,432.998175995301,-0.940496700879765,-0.0414681085043988
1303315451.83245,2011-04-20 16:04:11,2011-04-20,16:04:11.8324,0,-1.34319098240469,60.191788856305,5999.99999973231,432.998175995301,-0.93054435483871,-0.1310392228739
1303315451.85745,2011-04-20 16:04:11,2011-04-20,16:04:11.8574,0,-1.35451796187683,60.191788856305,5999.99999973231,432.998175995301,-0.920592008797654,-0.13933284457478
1303315451.88345,2011-04-20 16:04:11,2011-04-20,16:04:11.8834,0,-1.35451796187683,60.191788856305,5999.99999973231,432.998175995301,-0.918933284457478,-0.0829362170087977
1303315451.90745,2011-04-20 16:04:11,2011-04-20,16:04:11.9074,0,-1.35451796187683,60.0856304985337,5999.99999973231,432.998175995301,-0.93054435483871,-0.1310392228739
1303315451.93245,2011-04-20 16:04:11,2011-04-20,16:04:11.9324,0,-1.35451796187683,60.191788856305,5999.99999973231,432.998175995301,-0.937179252199413,-0.13933284457478
1303315451.95745,2011-04-20 16:04:11,2011-04-20,16:04:11.9574,0,-1.27806085043988,60.191788856305,5999.99999973231,432.998175995301,-0.923909457478006,-0.14762646627566
